          xle           xte             y             z    twist(deg)            a0    alfZL(deg)
  35.46429217   64.36102000    0.00000000    0.00000000    3.97269681    6.28318531    0.00000000
  35.72396145   64.36102000    0.53574851    0.03141560    4.00008627    6.28318531    0.00000000
  35.98361472   64.36102000    1.07146397    0.06282927    4.02733128    6.28318531    0.00000000
  36.24323595   64.36102000    1.60711334    0.09423906    4.05486345    6.28318531    0.00000000
  36.50280913   64.36102000    2.14266357    0.12564304    4.08270093    6.28318531    0.00000000
  36.76231825   64.36102000    2.67808164    0.15703926    4.11084973    6.28318531    0.00000000
  37.02174730   64.36102000    3.21333450    0.18842580    4.13931608    6.28318531    0.00000000
  37.28108029   64.36102000    3.74838916    0.21980072    4.16810683    6.28318531    0.00000000
  37.54030120   64.36102000    4.28321259    0.25116208    4.19722926    6.28318531    0.00000000
  37.79939406   64.36102000    4.81777182    0.28250794    4.22669098    6.28318531    0.00000000
  38.05834287   64.36102000    5.35203386    0.31383638    4.25649990    6.28318531    0.00000000
  38.31713167   64.36102000    5.88596577    0.34514546    4.28666417    6.28318531    0.00000000
  38.57574450   64.36102000    6.41953460    0.37643325    4.31719221    6.28318531    0.00000000
  38.83416540   64.36102000    6.95270744    0.40769782    4.34809269    6.28318531    0.00000000
  39.09237842   64.36102000    7.48545141    0.43893724    4.37937455    6.28318531    0.00000000
  39.35036765   64.36102000    8.01773364    0.47014959    4.41104701    6.28318531    0.00000000
  39.60811717   64.36102000    8.54952130    0.50133293    4.44311958    6.28318531    0.00000000
  39.86561108   64.36102000    9.08078159    0.53248535    4.47560206    6.28318531    0.00000000
  40.12283349   64.36102000    9.61148172    0.56360493    4.50850458    6.28318531    0.00000000
  40.37976854   64.36102000   10.14158898    0.59468974    4.54183757    6.28318531    0.00000000
  40.63640039   64.36102000   10.67107066    0.62573786    4.57561185    6.28318531    0.00000000
  40.89271319   64.36102000   11.19989409    0.65674739    4.60983856    6.28318531    0.00000000
  41.14869114   64.36102000   11.72802666    0.68771640    4.64452924    6.28318531    0.00000000
  41.40431845   64.36102000   12.25543580    0.71864299    4.67969580    6.28318531    0.00000000
  41.65957936   64.36102000   12.78208896    0.74952526    4.71535058    6.28318531    0.00000000
  41.91445810   64.36102000   13.30795365    0.78036129    4.75150636    6.28318531    0.00000000
  42.16893898   64.36102000   13.83299746    0.81114918    4.78817635    6.28318531    0.00000000
  42.42300627   64.36102000   14.35718798    0.84188704    4.82537426    6.28318531    0.00000000
  42.67664433   64.36102000   14.88049287    0.87257297    4.86311427    6.28318531    0.00000000
  42.92983749   64.36102000   15.40287987    0.90320507    4.90141110    6.28318531    0.00000000
  43.18257013   64.36102000   15.92431675    0.93378146    4.94028002    6.28318531    0.00000000
  43.43482668   64.36102000   16.44477134    0.96430024    4.97973685    6.28318531    0.00000000
  43.68659157   64.36102000   16.96421154    0.99475955    5.01979805    6.28318531    0.00000000
  43.93784927   64.36102000   17.48260531    1.02515749    5.06048069    6.28318531    0.00000000
  44.18858428   64.36102000   17.99992067    1.05549220    5.10180251    6.28318531    0.00000000
  44.43878114   64.36102000   18.51612571    1.08576180    5.14378197    6.28318531    0.00000000
  44.68842441   64.36102000   19.03118858    1.11596442    5.18643824    6.28318531    0.00000000
  44.93749868   64.36102000   19.54507753    1.14609821    5.22979131    6.28318531    0.00000000
  45.18598861   64.36102000   20.05776084    1.17616130    5.27386197    6.28318531    0.00000000
  45.43387886   64.36102000   20.56920689    1.20615184    5.31867190    6.28318531    0.00000000
  45.68115413   64.36102000   21.07938414    1.23606798    5.36424369    6.28318531    0.00000000
  45.92779918   64.36102000   21.58826111    1.26590787    5.41060092    6.28318531    0.00000000
  46.17379880   64.36102000   22.09580642    1.29566967    5.45776823    6.28318531    0.00000000
  46.41913780   64.36102000   22.60198875    1.32535155    5.50577138    6.28318531    0.00000000
  46.66380105   64.36102000   23.10677689    1.35495168    5.55463731    6.28318531    0.00000000
  46.90777347   64.36102000   23.61013969    1.38446823    5.60439434    6.28318531    0.00000000
  47.15103999   64.36102000   24.11204611    1.41389938    5.65507221    6.28318531    0.00000000
  47.39358563   64.36102000   24.61246518    1.44324331    5.70670248    6.28318531    0.00000000
