          xle           xte             y             z    twist(deg)            a0    alfZL(deg)
   0.00000000    3.28084000    0.00000000    0.00000000    8.33395257    6.28318531    0.00000000
   0.00000000    3.28084000    0.20613278    0.00000000    8.33223389    6.28318531    0.00000000
   0.00000000    3.28084000    0.41221470    0.00000000    8.32879696    6.28318531    0.00000000
   0.00000000    3.28084000    0.61819491    0.00000000    8.32364262    6.28318531    0.00000000
   0.00000000    3.28084000    0.82402259    0.00000000    8.31677214    6.28318531    0.00000000
   0.00000000    3.28084000    1.02964696    0.00000000    8.30818723    6.28318531    0.00000000
   0.00000000    3.28084000    1.23501727    0.00000000    8.29788999    6.28318531    0.00000000
   0.00000000    3.28084000    1.44008287    0.00000000    8.28588298    6.28318531    0.00000000
   0.00000000    3.28084000    1.64479314    0.00000000    8.27216915    6.28318531    0.00000000
   0.00000000    3.28084000    1.84909759    0.00000000    8.25675189    6.28318531    0.00000000
   0.00000000    3.28084000    2.05294580    0.00000000    8.23963500    6.28318531    0.00000000
   0.00000000    3.28084000    2.25628748    0.00000000    8.22082270    6.28318531    0.00000000
   0.00000000    3.28084000    2.45907245    0.00000000    8.20031965    6.28318531    0.00000000
   0.00000000    3.28084000    2.66125068    0.00000000    8.17813089    6.28318531    0.00000000
   0.00000000    3.28084000    2.86277229    0.00000000    8.15426192    6.28318531    0.00000000
   0.00000000    3.28084000    3.06358755    0.00000000    8.12871860    6.28318531    0.00000000
   0.00000000    3.28084000    3.26364692    0.00000000    8.10150726    6.28318531    0.00000000
   0.00000000    3.28084000    3.46290103    0.00000000    8.07263460    6.28318531    0.00000000
   0.00000000    3.28084000    3.66130072    0.00000000    8.04210775    6.28318531    0.00000000
   0.00000000    3.28084000    3.85879704    0.00000000    8.00993424    6.28318531    0.00000000
   0.00000000    3.28084000    4.05534126    0.00000000    7.97612202    6.28318531    0.00000000
   0.00000000    3.28084000    4.25088489    0.00000000    7.94067943    6.28318531    0.00000000
   0.00000000    3.28084000    4.44537967    0.00000000    7.90361521    6.28318531    0.00000000
   0.00000000    3.28084000    4.63877763    0.00000000    7.86493852    6.28318531    0.00000000
   0.00000000    3.28084000    4.83103103    0.00000000    7.82465889    6.28318531    0.00000000
   0.00000000    3.28084000    5.02209245    0.00000000    7.78278627    6.28318531    0.00000000
   0.00000000    3.28084000    5.21191474    0.00000000    7.73933100    6.28318531    0.00000000
   0.00000000    3.28084000    5.40045107    0.00000000    7.69430379    6.28318531    0.00000000
   0.00000000    3.28084000    5.58765492    0.00000000    7.64771576    6.28318531    0.00000000
   0.00000000    3.28084000    5.77348010    0.00000000    7.59957841    6.28318531    0.00000000
   0.00000000    3.28084000    5.95788076    0.00000000    7.54990362    6.28318531    0.00000000
   0.00000000    3.28084000    6.14081141    0.00000000    7.49870365    6.28318531    0.00000000
   0.00000000    3.28084000    6.32222690    0.00000000    7.44599114    6.28318531    0.00000000
   0.00000000    3.28084000    6.50208247    0.00000000    7.39177909    6.28318531    0.00000000
   0.00000000    3.28084000    6.68033375    0.00000000    7.33608088    6.28318531    0.00000000
   0.00000000    3.28084000    6.85693676    0.00000000    7.27891027    6.28318531    0.00000000
   0.00000000    3.28084000    7.03184793    0.00000000    7.22028137    6.28318531    0.00000000
   0.00000000    3.28084000    7.20502409    0.00000000    7.16020864    6.28318531    0.00000000
   0.00000000    3.28084000    7.37642252    0.00000000    7.09870691    6.28318531    0.00000000
   0.00000000    3.28084000    7.54600092    0.00000000    7.03579137    6.28318531    0.00000000
   0.00000000    3.28084000    7.71371747    0.00000000    6.97147754    6.28318531    0.00000000
   0.00000000    3.28084000    7.87953077    0.00000000    6.90578130    6.28318531    0.00000000
   0.00000000    3.28084000    8.04339991    0.00000000    6.83871886    6.28318531    0.00000000
   0.00000000    3.28084000    8.20528447    0.00000000    6.77030679    6.28318531    0.00000000
   0.00000000    3.28084000    8.36514449    0.00000000    6.70056196    6.28318531    0.00000000
   0.00000000    3.28084000    8.52294054    0.00000000    6.62950160    6.28318531    0.00000000
   0.00000000    3.28084000    8.67863368    0.00000000    6.55714325    6.28318531    0.00000000
   0.00000000    3.28084000    8.83218550    0.00000000    6.48350478    6.28318531    0.00000000
   0.00000000    3.28084000    8.98355811    0.00000000    6.40860435    6.28318531    0.00000000
   0.00000000    3.28084000    9.13271416    0.00000000    6.33246047    6.28318531    0.00000000
   0.00000000    3.28084000    9.27961685    0.00000000    6.25509194    6.28318531    0.00000000
   0.00000000    3.28084000    9.42422993    0.00000000    6.17651786    6.28318531    0.00000000
   0.00000000    3.28084000    9.56651773    0.00000000    6.09675763    6.28318531    0.00000000
   0.00000000    3.28084000    9.70644513    0.00000000    6.01583094    6.28318531    0.00000000
   0.00000000    3.28084000    9.84397761    0.00000000    5.93375780    6.28318531    0.00000000
   0.00000000    3.28084000    9.97908123    0.00000000    5.85055845    6.28318531    0.00000000
   0.00000000    3.28084000   10.11172267    0.00000000    5.76625346    6.28318531    0.00000000
   0.00000000    3.28084000   10.24186919    0.00000000    5.68086365    6.28318531    0.00000000
   0.00000000    3.28084000   10.36948868    0.00000000    5.59441011    6.28318531    0.00000000
   0.00000000    3.28084000   10.49454966    0.00000000    5.50691420    6.28318531    0.00000000
   0.00000000    3.28084000   10.61702126    0.00000000    5.41839754    6.28318531    0.00000000
   0.00000000    3.28084000   10.73687328    0.00000000    5.32888200    6.28318531    0.00000000
   0.00000000    3.28084000   10.85407613    0.00000000    5.23838971    6.28318531    0.00000000
   0.00000000    3.28084000   10.96860089    0.00000000    5.14694304    6.28318531    0.00000000
   0.00000000    3.28084000   11.08041932    0.00000000    5.05456460    6.28318531    0.00000000
   0.00000000    3.28084000   11.18950383    0.00000000    4.96127722    6.28318531    0.00000000
   0.00000000    3.28084000   11.29582749    0.00000000    4.86710400    6.28318531    0.00000000
   0.00000000    3.28084000   11.39936407    0.00000000    4.77206821    6.28318531    0.00000000
   0.00000000    3.28084000   11.50008803    0.00000000    4.67619340    6.28318531    0.00000000
   0.00000000    3.28084000   11.59797452    0.00000000    4.57950328    6.28318531    0.00000000
   0.00000000    3.28084000   11.69299938    0.00000000    4.48202182    6.28318531    0.00000000
   0.00000000    3.28084000   11.78513917    0.00000000    4.38377317    6.28318531    0.00000000
   0.00000000    3.28084000   11.87437115    0.00000000    4.28478169    6.28318531    0.00000000
   0.00000000    3.28084000   11.96067330    0.00000000    4.18507194    6.28318531    0.00000000
   0.00000000    3.28084000   12.04402434    0.00000000    4.08466868    6.28318531    0.00000000
   0.00000000    3.28084000   12.12440370    0.00000000    3.98359688    6.28318531    0.00000000
   0.00000000    3.28084000   12.20179154    0.00000000    3.88188169    6.28318531    0.00000000
   0.00000000    3.28084000   12.27616878    0.00000000    3.77954845    6.28318531    0.00000000
   0.00000000    3.28084000   12.34751705    0.00000000    3.67662271    6.28318531    0.00000000
   0.00000000    3.28084000   12.41581875    0.00000000    3.57313024    6.28318531    0.00000000
   0.00000000    3.28084000   12.48105704    0.00000000    3.46909699    6.28318531    0.00000000
   0.00000000    3.28084000   12.54321582    0.00000000    3.36454916    6.28318531    0.00000000
   0.00000000    3.28084000   12.60227974    0.00000000    3.25951319    6.28318531    0.00000000
   0.00000000    3.28084000   12.65823424    0.00000000    3.15401579    6.28318531    0.00000000
   0.00000000    3.28084000   12.71106551    0.00000000    3.04808398    6.28318531    0.00000000
   0.00000000    3.28084000   12.76076052    0.00000000    2.94174519    6.28318531    0.00000000
   0.00000000    3.28084000   12.80730700    0.00000000    2.83502730    6.28318531    0.00000000
   0.00000000    3.28084000   12.85069346    0.00000000    2.72795880    6.28318531    0.00000000
