          xle           xte             y             z    twist(deg)            a0    alfZL(deg)
   0.00000000   28.00000000    0.00000000    0.00000000    3.79994068    6.28318531    0.00000000
   0.24715583   28.00000000    0.53002739    0.00000000    3.82544637    6.28318531    0.00000000
   0.49429657   28.00000000    1.06002241    0.00000000    3.85121860    6.28318531    0.00000000
   0.74140712   28.00000000    1.58995270    0.00000000    3.87726322    6.28318531    0.00000000
   0.98847239   28.00000000    2.11978588    0.00000000    3.90358616    6.28318531    0.00000000
   1.23547729   28.00000000    2.64948960    0.00000000    3.93019345    6.28318531    0.00000000
   1.48240674   28.00000000    3.17903151    0.00000000    3.95709131    6.28318531    0.00000000
   1.72924565   28.00000000    3.70837927    0.00000000    3.98428609    6.28318531    0.00000000
   1.97597896   28.00000000    4.23750055    0.00000000    4.01178431    6.28318531    0.00000000
   2.22259158   28.00000000    4.76636303    0.00000000    4.03959270    6.28318531    0.00000000
   2.46906847   28.00000000    5.29493442    0.00000000    4.06771814    6.28318531    0.00000000
   2.71539457   28.00000000    5.82318244    0.00000000    4.09616774    6.28318531    0.00000000
   2.96155483   28.00000000    6.35107482    0.00000000    4.12494881    6.28318531    0.00000000
   3.20753422   28.00000000    6.87857933    0.00000000    4.15406887    6.28318531    0.00000000
   3.45331771   28.00000000    7.40566374    0.00000000    4.18353569    6.28318531    0.00000000
   3.69889031   28.00000000    7.93229587    0.00000000    4.21335724    6.28318531    0.00000000
   3.94423701   28.00000000    8.45844355    0.00000000    4.24354178    6.28318531    0.00000000
   4.18934282   28.00000000    8.98407466    0.00000000    4.27409778    6.28318531    0.00000000
   4.43419277   28.00000000    9.50915709    0.00000000    4.30503401    6.28318531    0.00000000
   4.67877192   28.00000000   10.03365877    0.00000000    4.33635951    6.28318531    0.00000000
   4.92306533   28.00000000   10.55754767    0.00000000    4.36808360    6.28318531    0.00000000
   5.16705807   28.00000000   11.08079180    0.00000000    4.40021593    6.28318531    0.00000000
   5.41073525   28.00000000   11.60335919    0.00000000    4.43276643    6.28318531    0.00000000
   5.65408198   28.00000000   12.12521794    0.00000000    4.46574539    6.28318531    0.00000000
   5.89708340   28.00000000   12.64633617    0.00000000    4.49916343    6.28318531    0.00000000
   6.13972468   28.00000000   13.16668206    0.00000000    4.53303152    6.28318531    0.00000000
   6.38199098   28.00000000   13.68622382    0.00000000    4.56736103    6.28318531    0.00000000
   6.62386752   28.00000000   14.20492974    0.00000000    4.60216370    6.28318531    0.00000000
   6.86533953   28.00000000   14.72276812    0.00000000    4.63745170    6.28318531    0.00000000
